INFO:__main__:args:[Namespace(gpuFrac=0.3, gpuNum=3, random=True, sequential=False)]
INFO:__main__:startTime:[06:00:00] - endTime:[18:00:00]
INFO:__main__:state_size:[3]
INFO:__main__:action_size:[2]
INFO:__main__:_________________________________________________________________
INFO:__main__:Layer (type)                 Output Shape              Param #   
INFO:__main__:=================================================================
INFO:__main__:dense_1 (Dense)              (None, 128)               512       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_2 (Dense)              (None, 64)                8256      
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_3 (Dense)              (None, 32)                2080      
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_4 (Dense)              (None, 16)                528       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_5 (Dense)              (None, 8)                 136       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_6 (Dense)              (None, 2)                 18        
INFO:__main__:=================================================================
INFO:__main__:Total params: 11,530
INFO:__main__:Trainable params: 11,530
INFO:__main__:Non-trainable params: 0
INFO:__main__:_________________________________________________________________
INFO:__main__:epsilon_decay:[0.995], epsilon:[1.0], learning_rate:[0.001], memory:[deque([], maxlen=1000)], state_size:[3], action_size:[2], epsilon_min:[0.01], model:[<keras.models.Sequential object at 0x7fcfc0cad990>], gamma:[0.95]
INFO:__main__:minGameScore:[425], minGameSequence:[50], gameMinutesLength:[500], batch_size:[128]
INFO:__main__:episode: 99, state: init state:[[ 9 46  1]], score: [120], loss:[0.486226470966], sequence:[0], random actions:[305], e:[0.61]
INFO:__main__:episode: 100, state: init state:[[14 29  1]], score: [84], loss:[0.458360506446], sequence:[0], random actions:[298], e:[0.61]
INFO:__main__:episode: 101, state: init state:[[ 2 56  0]], score: [90], loss:[0.302425467854], sequence:[0], random actions:[303], e:[0.6]
INFO:__main__:episode: 102, state: init state:[[ 9 11  1]], score: [182], loss:[0.327583945366], sequence:[0], random actions:[303], e:[0.6]
INFO:__main__:episode: 103, state: init state:[[ 8 37  1]], score: [200], loss:[0.0990601424458], sequence:[0], random actions:[294], e:[0.6]
INFO:__main__:episode: 104, state: init state:[[5 0 0]], score: [102], loss:[0.170124593764], sequence:[0], random actions:[314], e:[0.59]
INFO:__main__:episode: 105, state: init state:[[3 6 0]], score: [154], loss:[0.649579224852], sequence:[0], random actions:[297], e:[0.59]
INFO:__main__:episode: 106, state: init state:[[13 54  1]], score: [98], loss:[0.545709578854], sequence:[0], random actions:[288], e:[0.59]
INFO:__main__:episode: 107, state: init state:[[ 7 41  1]], score: [194], loss:[0.906160125027], sequence:[0], random actions:[295], e:[0.58]
INFO:__main__:episode: 108, state: init state:[[19 32  0]], score: [132], loss:[0.322846730308], sequence:[0], random actions:[310], e:[0.58]
INFO:__main__:episode: 109, state: init state:[[ 2 56  0]], score: [112], loss:[0.189026220427], sequence:[0], random actions:[287], e:[0.58]
INFO:__main__:episode: 110, state: init state:[[22 19  0]], score: [204], loss:[0.353739972131], sequence:[0], random actions:[288], e:[0.58]
INFO:__main__:episode: 111, state: init state:[[22 37  0]], score: [156], loss:[0.35810131398], sequence:[0], random actions:[292], e:[0.57]
INFO:__main__:episode: 112, state: init state:[[10  2  1]], score: [58], loss:[0.438033133267], sequence:[0], random actions:[292], e:[0.57]
INFO:__main__:episode: 113, state: init state:[[ 2 40  0]], score: [134], loss:[0.31820095583], sequence:[0], random actions:[272], e:[0.57]
INFO:__main__:episode: 114, state: init state:[[18  4  0]], score: [140], loss:[0.258611507306], sequence:[0], random actions:[288], e:[0.56]
INFO:__main__:episode: 115, state: init state:[[13  3  1]], score: [124], loss:[0.318168782276], sequence:[0], random actions:[285], e:[0.56]
INFO:__main__:episode: 116, state: init state:[[22 51  0]], score: [140], loss:[0.309612641117], sequence:[0], random actions:[301], e:[0.56]
INFO:__main__:episode: 117, state: init state:[[14 30  1]], score: [186], loss:[0.311378430058], sequence:[0], random actions:[272], e:[0.56]
INFO:__main__:episode: 118, state: init state:[[13 52  1]], score: [152], loss:[0.810809075231], sequence:[0], random actions:[299], e:[0.55]
INFO:__main__:episode: 119, state: init state:[[16 10  1]], score: [166], loss:[0.415316934945], sequence:[0], random actions:[270], e:[0.55]
INFO:__main__:episode: 120, state: init state:[[20  4  0]], score: [196], loss:[0.254130608918], sequence:[0], random actions:[290], e:[0.55]
INFO:__main__:episode: 121, state: init state:[[ 4 40  0]], score: [168], loss:[0.192475519472], sequence:[0], random actions:[262], e:[0.55]
INFO:__main__:episode: 122, state: init state:[[ 3 25  0]], score: [182], loss:[0.426499990815], sequence:[0], random actions:[261], e:[0.54]
INFO:__main__:episode: 123, state: init state:[[19 28  0]], score: [252], loss:[0.396399377035], sequence:[0], random actions:[288], e:[0.54]
INFO:__main__:episode: 124, state: init state:[[17 58  1]], score: [202], loss:[0.172396366799], sequence:[0], random actions:[255], e:[0.54]
INFO:__main__:episode: 125, state: init state:[[14  7  1]], score: [164], loss:[0.328575311401], sequence:[0], random actions:[264], e:[0.53]
INFO:__main__:episode: 126, state: init state:[[18 23  0]], score: [240], loss:[0.247117733308], sequence:[0], random actions:[271], e:[0.53]
INFO:__main__:episode: 127, state: init state:[[12 42  1]], score: [172], loss:[0.337312653198], sequence:[0], random actions:[265], e:[0.53]
INFO:__main__:episode: 128, state: init state:[[7 0 1]], score: [258], loss:[0.333366802331], sequence:[0], random actions:[256], e:[0.53]
INFO:__main__:episode: 129, state: init state:[[10 38  1]], score: [188], loss:[0.232728901095], sequence:[0], random actions:[267], e:[0.52]
INFO:__main__:episode: 130, state: init state:[[18  1  0]], score: [198], loss:[0.444882064627], sequence:[0], random actions:[263], e:[0.52]
INFO:__main__:episode: 131, state: init state:[[7 8 1]], score: [258], loss:[0.110558305668], sequence:[0], random actions:[256], e:[0.52]
INFO:__main__:episode: 132, state: init state:[[12 21  1]], score: [182], loss:[0.619937053932], sequence:[0], random actions:[247], e:[0.52]
INFO:__main__:episode: 133, state: init state:[[18 23  0]], score: [244], loss:[0.20305187846], sequence:[0], random actions:[267], e:[0.51]
INFO:__main__:episode: 134, state: init state:[[22  1  0]], score: [218], loss:[0.122391160573], sequence:[0], random actions:[261], e:[0.51]
INFO:__main__:episode: 135, state: init state:[[20 21  0]], score: [220], loss:[0.103442997926], sequence:[0], random actions:[272], e:[0.51]
INFO:__main__:episode: 136, state: init state:[[17 18  1]], score: [58], loss:[0.747505542599], sequence:[0], random actions:[233], e:[0.51]
INFO:__main__:episode: 137, state: init state:[[ 3 14  0]], score: [96], loss:[0.415783183794], sequence:[0], random actions:[264], e:[0.5]
INFO:__main__:episode: 138, state: init state:[[15 12  1]], score: [108], loss:[0.73676433115], sequence:[0], random actions:[272], e:[0.5]
