INFO:__main__:episode: 64, state: init state:[[ 2  5 45  0  0  0  0  0  0  0  0  0  0  0]], score: [190.0], loss:[0.000718486017454], sequence:[0], random actions:[2097], e:[0.73]
INFO:__main__:episode: 65, state: init state:[[2 6 2 0 0 0 0 0 0 0 0 0 0 0]], score: [204.181818182], loss:[0.0007308602456], sequence:[0], random actions:[2096], e:[0.72]
INFO:__main__:episode: 66, state: init state:[[ 2  6 19  0  0  0  0  0  0  0  0  0  0  0]], score: [239.454545455], loss:[0.000754859285243], sequence:[0], random actions:[2053], e:[0.72]
INFO:__main__:episode: 67, state: init state:[[ 2  6 36  0  0  0  0  0  0  0  0  0  0  0]], score: [208.727272727], loss:[0.000756430989597], sequence:[0], random actions:[2077], e:[0.71]
INFO:__main__:episode: 68, state: init state:[[ 2  6 53  0  0  0  0  0  0  0  0  0  0  0]], score: [195.636363636], loss:[0.000832096844446], sequence:[0], random actions:[2083], e:[0.71]
INFO:__main__:episode: 69, state: init state:[[ 2  7 10  0  0  0  0  0  0  0  0  0  0  0]], score: [226.909090909], loss:[0.00085534320306], sequence:[0], random actions:[2037], e:[0.71]
INFO:__main__:episode: 70, state: init state:[[ 2  7 27  0  0  0  0  0  0  0  0  0  0  0]], score: [195.454545455], loss:[0.000890312890243], sequence:[0], random actions:[2054], e:[0.7]
INFO:__main__:episode: 71, state: init state:[[ 2  7 44  0  0  0  0  0  0  0  0  0  0  0]], score: [267.454545455], loss:[0.000919450180791], sequence:[0], random actions:[1980], e:[0.7]
INFO:__main__:episode: 72, state: init state:[[2 8 1 1 0 0 0 0 0 0 0 0 0 0]], score: [243.272727273], loss:[0.000955448630266], sequence:[0], random actions:[2039], e:[0.7]
INFO:__main__:episode: 73, state: init state:[[ 2  8 18  1  0  0  0  0  0  0  0  0  0  0]], score: [238.0], loss:[0.000983151879907], sequence:[0], random actions:[1983], e:[0.69]
INFO:__main__:episode: 74, state: init state:[[ 2  8 35  1  1  0  1  0  1  0  0  0  0  0]], score: [225.272727273], loss:[0.0010592935401], sequence:[0], random actions:[1975], e:[0.69]
INFO:__main__:episode: 75, state: init state:[[ 2  8 52  1  1  0  0  0  0  0  0  0  0  0]], score: [209.818181818], loss:[0.00112091170698], sequence:[0], random actions:[2027], e:[0.69]
