INFO:__main__:args:[Namespace(gpuFrac=0.3, gpuNum=3, random=True, sequential=False)]
INFO:__main__:state_size:[3]
INFO:__main__:action_size:[2]
INFO:__main__:_________________________________________________________________
INFO:__main__:Layer (type)                 Output Shape              Param #   
INFO:__main__:=================================================================
INFO:__main__:dense_1 (Dense)              (None, 128)               512       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_2 (Dense)              (None, 64)                8256      
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_3 (Dense)              (None, 32)                2080      
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_4 (Dense)              (None, 16)                528       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_5 (Dense)              (None, 8)                 136       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_6 (Dense)              (None, 2)                 18        
INFO:__main__:=================================================================
INFO:__main__:Total params: 11,530
INFO:__main__:Trainable params: 11,530
INFO:__main__:Non-trainable params: 0
INFO:__main__:_________________________________________________________________
INFO:__main__:epsilon_decay:[0.995], epsilon:[1.0], learning_rate:[0.001], memory:[deque([], maxlen=500)], state_size:[3], action_size:[2], epsilon_min:[0.01], model:[<keras.models.Sequential object at 0x7ffa81b4c990>], gamma:[0.95]
INFO:__main__:minGameScore:[250], minGameSequence:[50], gameMinutesLength:[300], batch_size:[200]
INFO:__main__:episode: 132, state: init state:[[20 55  0]], score: [146], loss:[0.212102849311], sequence:[0], random actions:[157], e:[0.52]
INFO:__main__:episode: 133, state: init state:[[ 3 21  0]], score: [76], loss:[0.35226355149], sequence:[0], random actions:[170], e:[0.51]
INFO:__main__:episode: 134, state: init state:[[16 38  1]], score: [34], loss:[0.526040548949], sequence:[0], random actions:[152], e:[0.51]
INFO:__main__:episode: 135, state: init state:[[14 48  1]], score: [92], loss:[0.390036213555], sequence:[0], random actions:[172], e:[0.51]
INFO:__main__:episode: 136, state: init state:[[18 23  0]], score: [142], loss:[0.310224463807], sequence:[0], random actions:[148], e:[0.51]
INFO:__main__:episode: 137, state: init state:[[13  2  1]], score: [50], loss:[0.320883901934], sequence:[0], random actions:[155], e:[0.5]
INFO:__main__:episode: 138, state: init state:[[ 0 33  0]], score: [166], loss:[0.1375884641], sequence:[0], random actions:[138], e:[0.5]
INFO:__main__:episode: 139, state: init state:[[ 6 14  1]], score: [84], loss:[0.299888643814], sequence:[0], random actions:[160], e:[0.5]
INFO:__main__:episode: 140, state: init state:[[ 6 18  1]], score: [136], loss:[0.121884380862], sequence:[0], random actions:[146], e:[0.5]
INFO:__main__:episode: 141, state: init state:[[16 31  1]], score: [6], loss:[0.383888013604], sequence:[0], random actions:[150], e:[0.49]
INFO:__main__:episode: 142, state: init state:[[11 25  1]], score: [176], loss:[0.371382616836], sequence:[0], random actions:[123], e:[0.49]
INFO:__main__:episode: 143, state: init state:[[15 19  1]], score: [30], loss:[0.261744751437], sequence:[0], random actions:[162], e:[0.49]
INFO:__main__:episode: 144, state: init state:[[ 7 48  1]], score: [180], loss:[0.351096157578], sequence:[0], random actions:[136], e:[0.49]
INFO:__main__:episode: 145, state: init state:[[ 3 46  0]], score: [88], loss:[0.495238280725], sequence:[0], random actions:[152], e:[0.48]
INFO:__main__:episode: 146, state: init state:[[17 50  1]], score: [60], loss:[0.349343749575], sequence:[0], random actions:[156], e:[0.48]
INFO:__main__:episode: 147, state: init state:[[15 10  1]], score: [54], loss:[0.326942554926], sequence:[0], random actions:[144], e:[0.48]
INFO:__main__:episode: 148, state: init state:[[ 6 53  1]], score: [132], loss:[0.341621800692], sequence:[0], random actions:[151], e:[0.48]
INFO:__main__:episode: 149, state: init state:[[16 57  1]], score: [102], loss:[0.398567219458], sequence:[0], random actions:[142], e:[0.47]
INFO:__main__:episode: 150, state: init state:[[11 38  1]], score: [176], loss:[0.0725476948755], sequence:[0], random actions:[134], e:[0.47]
INFO:__main__:episode: 151, state: init state:[[13 52  1]], score: [92], loss:[0.238848552742], sequence:[0], random actions:[154], e:[0.47]
INFO:__main__:episode: 152, state: init state:[[23  0  0]], score: [162], loss:[0.428501877887], sequence:[0], random actions:[121], e:[0.47]
INFO:__main__:episode: 153, state: init state:[[ 5 14  0]], score: [104], loss:[0.175083330907], sequence:[0], random actions:[148], e:[0.46]
INFO:__main__:episode: 154, state: init state:[[23 53  0]], score: [174], loss:[0.194418870976], sequence:[0], random actions:[138], e:[0.46]
INFO:__main__:episode: 155, state: init state:[[ 2 38  0]], score: [124], loss:[0.373846405922], sequence:[0], random actions:[142], e:[0.46]
INFO:__main__:episode: 156, state: init state:[[7 5 1]], score: [182], loss:[0.33629830859], sequence:[0], random actions:[127], e:[0.46]
INFO:__main__:episode: 157, state: init state:[[19 29  0]], score: [66], loss:[0.141410440829], sequence:[0], random actions:[130], e:[0.46]
INFO:__main__:episode: 158, state: init state:[[14 28  1]], score: [112], loss:[0.250547221754], sequence:[0], random actions:[124], e:[0.45]
INFO:__main__:episode: 159, state: init state:[[14 18  1]], score: [110], loss:[0.565995876751], sequence:[0], random actions:[132], e:[0.45]
