INFO:__main__:args:[Namespace(gpuFrac=0.3, gpuNum=2, random=False, sequential=True)]
INFO:__main__:startTime:[12:00:00] - endTime:[18:00:00]
INFO:__main__:state_size:[3]
INFO:__main__:action_size:[2]
INFO:__main__:_________________________________________________________________
INFO:__main__:Layer (type)                 Output Shape              Param #   
INFO:__main__:=================================================================
INFO:__main__:dense_1 (Dense)              (None, 128)               512       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_2 (Dense)              (None, 64)                8256      
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_3 (Dense)              (None, 32)                2080      
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_4 (Dense)              (None, 16)                528       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_5 (Dense)              (None, 8)                 136       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_6 (Dense)              (None, 2)                 18        
INFO:__main__:=================================================================
INFO:__main__:Total params: 11,530
INFO:__main__:Trainable params: 11,530
INFO:__main__:Non-trainable params: 0
INFO:__main__:_________________________________________________________________
INFO:__main__:epsilon_decay:[0.995], epsilon:[1.0], learning_rate:[0.001], memory:[deque([], maxlen=500)], state_size:[3], action_size:[2], epsilon_min:[0.01], model:[<keras.models.Sequential object at 0x7f521cee9990>], gamma:[0.95]
INFO:__main__:minGameScore:[255], minGameSequence:[50], gameMinutesLength:[300], batch_size:[200]
INFO:__main__:episode: 82, state: init state:[[ 6 57  1]], score: [88], loss:[0.0197517852776], sequence:[0], random actions:[210], e:[0.66]
INFO:__main__:episode: 83, state: init state:[[ 7 14  1]], score: [96], loss:[0.130449796774], sequence:[0], random actions:[191], e:[0.66]
INFO:__main__:episode: 84, state: init state:[[ 7 31  1]], score: [62], loss:[0.302300679903], sequence:[0], random actions:[192], e:[0.66]
INFO:__main__:episode: 85, state: init state:[[ 7 48  0]], score: [64], loss:[0.456033022531], sequence:[0], random actions:[203], e:[0.65]
INFO:__main__:episode: 86, state: init state:[[8 5 1]], score: [56], loss:[0.43767991744], sequence:[0], random actions:[197], e:[0.65]
INFO:__main__:episode: 87, state: init state:[[ 8 22  0]], score: [48], loss:[0.73131514587], sequence:[0], random actions:[181], e:[0.65]
INFO:__main__:episode: 88, state: init state:[[ 8 39  1]], score: [38], loss:[0.498151826916], sequence:[0], random actions:[192], e:[0.64]
INFO:__main__:episode: 89, state: init state:[[ 8 56  0]], score: [32], loss:[0.571678374321], sequence:[0], random actions:[191], e:[0.64]
INFO:__main__:episode: 90, state: init state:[[ 9 13  0]], score: [16], loss:[0.550559996439], sequence:[0], random actions:[187], e:[0.64]
INFO:__main__:episode: 91, state: init state:[[ 9 30  1]], score: [44], loss:[0.624992294475], sequence:[0], random actions:[184], e:[0.63]
INFO:__main__:episode: 92, state: init state:[[ 9 47  0]], score: [-14], loss:[0.556435959592], sequence:[0], random actions:[197], e:[0.63]
INFO:__main__:episode: 93, state: init state:[[10  4  1]], score: [-36], loss:[0.557055810727], sequence:[0], random actions:[173], e:[0.63]
INFO:__main__:episode: 94, state: init state:[[10 21  1]], score: [-28], loss:[0.487593661323], sequence:[0], random actions:[181], e:[0.62]
INFO:__main__:episode: 95, state: init state:[[10 38  0]], score: [-4], loss:[0.422868900821], sequence:[0], random actions:[188], e:[0.62]
INFO:__main__:episode: 96, state: init state:[[10 55  0]], score: [60], loss:[0.454972857266], sequence:[0], random actions:[180], e:[0.62]
INFO:__main__:episode: 97, state: init state:[[11 12  0]], score: [80], loss:[0.512779819574], sequence:[0], random actions:[181], e:[0.61]
INFO:__main__:episode: 98, state: init state:[[11 29  1]], score: [90], loss:[0.251451193559], sequence:[0], random actions:[185], e:[0.61]
INFO:__main__:episode: 99, state: init state:[[11 46  1]], score: [90], loss:[0.0584564937805], sequence:[0], random actions:[188], e:[0.61]
INFO:__main__:episode: 100, state: init state:[[12  3  1]], score: [118], loss:[0.0133392083486], sequence:[0], random actions:[175], e:[0.61]
INFO:__main__:episode: 101, state: init state:[[12 20  0]], score: [94], loss:[0.0140326844691], sequence:[0], random actions:[186], e:[0.6]
INFO:__main__:episode: 102, state: init state:[[12 37  1]], score: [106], loss:[0.0119768236133], sequence:[0], random actions:[188], e:[0.6]
INFO:__main__:episode: 103, state: init state:[[12 54  1]], score: [112], loss:[0.0145511378831], sequence:[0], random actions:[196], e:[0.6]
INFO:__main__:episode: 104, state: init state:[[13 11  1]], score: [102], loss:[0.113699738468], sequence:[0], random actions:[172], e:[0.59]
INFO:__main__:episode: 105, state: init state:[[13 28  0]], score: [122], loss:[0.239765975211], sequence:[0], random actions:[176], e:[0.59]
INFO:__main__:episode: 106, state: init state:[[13 45  1]], score: [86], loss:[0.474667249512], sequence:[0], random actions:[183], e:[0.59]
INFO:__main__:episode: 107, state: init state:[[14  2  0]], score: [84], loss:[0.445373435761], sequence:[0], random actions:[185], e:[0.58]
INFO:__main__:episode: 108, state: init state:[[14 19  0]], score: [66], loss:[0.644402434285], sequence:[0], random actions:[189], e:[0.58]
INFO:__main__:episode: 109, state: init state:[[14 36  0]], score: [40], loss:[0.552456090624], sequence:[0], random actions:[166], e:[0.58]
INFO:__main__:episode: 110, state: init state:[[14 53  0]], score: [54], loss:[0.563769640619], sequence:[0], random actions:[176], e:[0.58]
INFO:__main__:episode: 111, state: init state:[[15 10  0]], score: [24], loss:[0.613745972803], sequence:[0], random actions:[184], e:[0.57]
