INFO:__main__:args:[Namespace(gpuFrac=0.3, gpuNum=2, random=False, sequential=True)]
INFO:__main__:startTime:[14:00:00] - endTime:[18:00:00]
INFO:__main__:state_size:[3]
INFO:__main__:action_size:[2]
INFO:__main__:_________________________________________________________________
INFO:__main__:Layer (type)                 Output Shape              Param #   
INFO:__main__:=================================================================
INFO:__main__:dense_1 (Dense)              (None, 128)               512       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_2 (Dense)              (None, 64)                8256      
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_3 (Dense)              (None, 32)                2080      
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_4 (Dense)              (None, 16)                528       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_5 (Dense)              (None, 8)                 136       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_6 (Dense)              (None, 2)                 18        
INFO:__main__:=================================================================
INFO:__main__:Total params: 11,530
INFO:__main__:Trainable params: 11,530
INFO:__main__:Non-trainable params: 0
INFO:__main__:_________________________________________________________________
INFO:__main__:epsilon_decay:[0.995], epsilon:[1.0], learning_rate:[0.001], memory:[deque([], maxlen=500)], state_size:[3], action_size:[2], epsilon_min:[0.01], model:[<keras.models.Sequential object at 0x7f113d1a9990>], gamma:[0.95]
INFO:__main__:minGameScore:[255], minGameSequence:[50], gameMinutesLength:[300], batch_size:[200]
INFO:__main__:episode: 123, state: init state:[[18 34  0]], score: [142], loss:[0.0289775904228], sequence:[0], random actions:[149], e:[0.54]
INFO:__main__:episode: 124, state: init state:[[18 51  0]], score: [134], loss:[0.0224955276944], sequence:[0], random actions:[158], e:[0.54]
INFO:__main__:episode: 125, state: init state:[[19  8  1]], score: [142], loss:[0.0571514584008], sequence:[0], random actions:[151], e:[0.53]
INFO:__main__:episode: 126, state: init state:[[19 25  0]], score: [118], loss:[0.0622245789345], sequence:[0], random actions:[172], e:[0.53]
INFO:__main__:episode: 127, state: init state:[[19 42  1]], score: [146], loss:[0.0208515472713], sequence:[0], random actions:[157], e:[0.53]
INFO:__main__:episode: 128, state: init state:[[19 59  1]], score: [142], loss:[0.055478678283], sequence:[0], random actions:[158], e:[0.53]
INFO:__main__:episode: 129, state: init state:[[20 16  0]], score: [144], loss:[0.0415225627612], sequence:[0], random actions:[165], e:[0.52]
INFO:__main__:episode: 130, state: init state:[[20 33  0]], score: [134], loss:[0.102031444101], sequence:[0], random actions:[157], e:[0.52]
INFO:__main__:episode: 131, state: init state:[[20 50  0]], score: [156], loss:[0.0438328511054], sequence:[0], random actions:[144], e:[0.52]
INFO:__main__:episode: 132, state: init state:[[21  7  1]], score: [112], loss:[0.0151134945356], sequence:[0], random actions:[164], e:[0.52]
INFO:__main__:episode: 133, state: init state:[[21 24  1]], score: [110], loss:[0.0486238630416], sequence:[0], random actions:[170], e:[0.51]
INFO:__main__:episode: 134, state: init state:[[21 41  1]], score: [150], loss:[0.0166880124115], sequence:[0], random actions:[149], e:[0.51]
INFO:__main__:episode: 135, state: init state:[[21 58  0]], score: [156], loss:[0.059351297279], sequence:[0], random actions:[148], e:[0.51]
INFO:__main__:episode: 136, state: init state:[[22 15  0]], score: [134], loss:[0.0210169766044], sequence:[0], random actions:[151], e:[0.51]
INFO:__main__:episode: 137, state: init state:[[22 32  1]], score: [134], loss:[0.134489707308], sequence:[0], random actions:[164], e:[0.5]
INFO:__main__:episode: 138, state: init state:[[22 49  1]], score: [140], loss:[0.232051650416], sequence:[0], random actions:[155], e:[0.5]
INFO:__main__:episode: 139, state: init state:[[23  6  1]], score: [142], loss:[0.0314992751935], sequence:[0], random actions:[145], e:[0.5]
INFO:__main__:episode: 140, state: init state:[[23 23  0]], score: [154], loss:[0.0215968066419], sequence:[0], random actions:[151], e:[0.5]
INFO:__main__:episode: 141, state: init state:[[23 40  1]], score: [168], loss:[0.00956869217148], sequence:[0], random actions:[145], e:[0.49]
INFO:__main__:episode: 142, state: init state:[[23 57  0]], score: [158], loss:[0.015673250759], sequence:[0], random actions:[152], e:[0.49]
INFO:__main__:episode: 143, state: init state:[[ 0 14  1]], score: [144], loss:[0.0279180514735], sequence:[0], random actions:[141], e:[0.49]
INFO:__main__:episode: 144, state: init state:[[ 0 31  1]], score: [138], loss:[0.0122265869483], sequence:[0], random actions:[160], e:[0.49]
INFO:__main__:episode: 145, state: init state:[[ 0 48  0]], score: [146], loss:[0.00347755424931], sequence:[0], random actions:[150], e:[0.48]
INFO:__main__:episode: 146, state: init state:[[1 5 1]], score: [110], loss:[0.0337435151036], sequence:[0], random actions:[158], e:[0.48]
INFO:__main__:episode: 147, state: init state:[[ 1 22  0]], score: [156], loss:[0.0203842983966], sequence:[0], random actions:[155], e:[0.48]
INFO:__main__:episode: 148, state: init state:[[ 1 39  1]], score: [144], loss:[0.0621372427962], sequence:[0], random actions:[154], e:[0.48]
INFO:__main__:episode: 149, state: init state:[[ 1 56  0]], score: [-6], loss:[0.0799307697941], sequence:[0], random actions:[157], e:[0.47]
INFO:__main__:episode: 150, state: init state:[[ 2 13  0]], score: [156], loss:[0.0112382951897], sequence:[0], random actions:[136], e:[0.47]
INFO:__main__:episode: 151, state: init state:[[ 2 30  1]], score: [162], loss:[0.00582640660406], sequence:[0], random actions:[141], e:[0.47]
INFO:__main__:episode: 152, state: init state:[[ 2 47  0]], score: [166], loss:[0.0360958741937], sequence:[0], random actions:[142], e:[0.47]
INFO:__main__:episode: 153, state: init state:[[3 4 0]], score: [134], loss:[0.0479667931441], sequence:[0], random actions:[133], e:[0.46]
INFO:__main__:episode: 154, state: init state:[[ 3 21  1]], score: [170], loss:[0.0384787306438], sequence:[0], random actions:[133], e:[0.46]
INFO:__main__:episode: 155, state: init state:[[ 3 38  0]], score: [158], loss:[0.0185152235153], sequence:[0], random actions:[145], e:[0.46]
INFO:__main__:episode: 156, state: init state:[[ 3 55  0]], score: [192], loss:[0.116186014013], sequence:[0], random actions:[119], e:[0.46]
